country	att1	att2	total	region
극장판 포켓몬스터 AG - 아름다운 소원의 별 지라치	61160	12429	73589	외국
에코	16157	1584	17741	외국
선 오브 갓	170753	150340	321127	외국
레드카펫	191270	118767	310037	한국
무드 인디고	13673	30873	44546	외국
울브스	37655	4287	41942	외국
유고와 라라 : 신비의 숲 어드벤처	16555	3936	20553	외국
위험한 패밀리	12581	2717	15298	외국
디태치먼트	6803	5228	12031	외국
님아, 그 강을 건너지 마오	100200	4690374	4790574	한국
우아한 거짓말	663730	938911	1602641	한국
한공주	84113	137471	221584	한국
도희야	95783	7665	103497	한국
님포매니악 볼륨1	33433	25588	59021	외국
초콜렛 도넛	15939	14995	30934	외국
잉여들의 히치하이킹	5281	22449	27730	한국
님포매니악 볼륨2	12331	11242	23573	외국
프라미스드 랜드	10969	11957	23003	외국
누구에게나 찬란한	4642	12745	18268	한국
마녀	6430	1109	7544	한국
족구왕	9325	34630	43955	한국
스톤	9184	2397	15365	외국
그 사람 그 사랑 그 세상	8901	15872	24773	한국
꾸뻬씨의 행복여행	67588	52755	120343	외국
프란시스 하	24855	44453	69365	외국
벨과 세바스찬	22662	4818	27664	외국
해적: 바다로 간 산적	2294572	6335980	8630552	한국
타짜-신의 손	2060373	1937985	3998358	한국
역린	2455060	1387546	3842836	한국
기술자들	1576367	923574	2499953	한국
피끓는 청춘	1058406	609068	1667474	한국
폼페이: 최후의 날	772335	599009	1371344	외국
